a,id,CountyName,State,rate
1,01001,Autauga County,AL,0.00857362759311962
2,01003,Baldwin County,AL,0.0021367712803605186
3,01005,Barbour County,AL,0.012355181074293122
4,01007,Bibb County,AL,0.0066535679199785655
5,01009,Blount County,AL,0.0030436135994189465
6,01011,Bullock County,AL,0.03474903474903475
7,01013,Butler County,AL,0.030234471410941998
8,01015,Calhoun County,AL,0.002050966066634391
9,01017,Chambers County,AL,0.016509292115234258
10,01019,Cherokee County,AL,0.0024431210871888836
11,01021,Chilton County,AL,0.0041640406950571715
12,01023,Choctaw County,AL,0.014933672253554691
13,01025,Clarke County,AL,0.010329353992041317
14,01027,Clay County,AL,0.0026445032111824707
15,01029,Cleburne County,AL,0.0015425888665325286
16,01031,Coffee County,AL,0.006304688395552329
17,01033,Colbert County,AL,0.006010028782969172
18,01035,Conecuh County,AL,0.012844949034557056
19,01037,Coosa County,AL,0.00506424083278627
20,01039,Covington County,AL,0.00744959378120867
21,01041,Crenshaw County,AL,0.008931164681963404
22,01043,Cullman County,AL,0.004249832871740999
23,01045,Dale County,AL,0.00445375416903929
24,01047,Dallas County,AL,0.019249381653941283
25,01049,DeKalb County,AL,0.006837917581418763
26,01051,Elmore County,AL,0.009161546134049181
27,01053,Escambia County,AL,0.005186580405645183
28,01055,Etowah County,AL,0.004820667266398091
29,01057,Fayette County,AL,0.003987240829346092
30,01059,Franklin County,AL,0.02601874880428544
31,01061,Geneva County,AL,0.0020935632446423815
32,01063,Greene County,AL,0.01972629762051535
33,01065,Hale County,AL,0.018565285646030986
34,01067,Henry County,AL,0.007439697762278407
35,01069,Houston County,AL,0.003636123231521883
36,01071,Jackson County,AL,0.0035253554410568317
37,01073,Jefferson County,AL,0.005129271925815361
38,01075,Lamar County,AL,0.004563563926113727
39,01077,Lauderdale County,AL,0.0036018936902155745
40,01079,Lawrence County,AL,0.0026424492771230713
41,01081,Lee County,AL,0.006199025172904183
42,01083,Limestone County,AL,0.0032452105342971236
43,01085,Lowndes County,AL,0.04482829529097265
44,01087,Macon County,AL,0.008578702678769095
45,01089,Madison County,AL,0.002257923514852149
46,01091,Marengo County,AL,0.013571542172507025
47,01093,Marion County,AL,0.006328048739439227
48,01095,Marshall County,AL,0.0131750263500527
49,01097,Mobile County,AL,0.00784346942232763
50,01099,Monroe County,AL,0.008440650171224617
51,01101,Montgomery County,AL,0.01551530778944394
52,01103,Morgan County,AL,0.007236023028267282
53,01105,Perry County,AL,0.011431133027008853
54,01107,Pickens County,AL,0.008981435022579027
55,01109,Pike County,AL,0.011566104970707253
56,01111,Randolph County,AL,0.006689551976058445
57,01113,Russell County,AL,0.007090974965925364
58,01115,St. Clair County,AL,0.0026365180087586024
59,01117,Shelby County,AL,0.004120311251159843
60,01119,Sumter County,AL,0.02188782489740082
61,01121,Talladega County,AL,0.002588211758233514
62,01123,Tallapoosa County,AL,0.01340203631679342
63,01125,Tuscaloosa County,AL,0.008397220032958373
64,01127,Walker County,AL,0.011980289982840321
65,01129,Washington County,AL,0.005941443096900649
66,01131,Wilcox County,AL,0.025354285163404995
67,01133,Winston County,AL,0.008887384146599517
69,02013,Aleutians East Borough,AK,0.0
70,02016,Aleutians West Census Area,AK,0.0
71,02020,Municipality of Anchorage,AK,0.0012326388888888888
72,02050,Bethel Census Area,AK,0.00032633525508539104
73,02060,Bristol Bay Borough,AK,0.0
74,02068,Denali Borough,AK,0.0
75,02070,Dillingham Census Area,AK,0.0
