a,id,CountyName,State,rate
1,1001,Autauga County,AL,2138.1290425125258
2,1003,Baldwin County,AL,7007.519708678374
3,1005,Barbour County,AL,1052.4857842702586
4,1007,Bibb County,AL,880.0702923867681
5,1009,Blount County,AL,2013.7083854482657
6,1011,Bullock County,AL,652.3962714232804
7,1013,Butler County,AL,1032.9841313870375
8,1015,Calhoun County,AL,4495.804778695053
9,1017,Chambers County,AL,1408.8065110704076
10,1019,Cherokee County,AL,784.8647493412518
11,1021,Chilton County,AL,1965.6616271112816
12,1023,Choctaw County,AL,403.92529128012535
13,1025,Clarke County,AL,1390.4526625928743
14,1027,Clay County,AL,799.6298278358983
15,1029,Cleburne County,AL,639.3533980236988
16,1031,Coffee County,AL,1889.6228821408993
17,1033,Colbert County,AL,2098.1404533053183
18,1035,Conecuh County,AL,566.3192489444605
19,1037,Coosa County,AL,215.27593926141935
20,1039,Covington County,AL,1842.2710443899823
21,1041,Crenshaw County,AL,630.1437332870263
22,1043,Cullman County,AL,2547.3043444087803
23,1045,Dale County,AL,1774.480130959266
24,1047,Dallas County,AL,1897.7198835688127
25,1049,DeKalb County,AL,3686.139409127411
26,1051,Elmore County,AL,3361.591599425499
27,1053,Escambia County,AL,1770.7221772604235
28,1055,Etowah County,AL,4495.328984263021
29,1057,Fayette County,AL,613.6624996198691
30,1059,Franklin County,AL,2121.2794504472718
31,1061,Geneva County,AL,967.5886953985431
32,1063,Greene County,AL,356.5762429266071
33,1065,Hale County,AL,799.5651080336769
34,1067,Henry County,AL,703.4052222759833
35,1069,Houston County,AL,4079.097675093023
36,1071,Jackson County,AL,2335.7033124759873
37,1073,Jefferson County,AL,24218.754905291767
38,1075,Lamar County,AL,510.37876275545096
39,1077,Lauderdale County,AL,2339.932444454013
40,1079,Lawrence County,AL,910.0976597022898
41,1081,Lee County,AL,6760.016450889393
42,1083,Limestone County,AL,3069.9328761648526
43,1085,Lowndes County,AL,721.2571476582793
44,1087,Macon County,AL,546.8297505555303
45,1089,Madison County,AL,9702.9445235008
46,1091,Marengo County,AL,1115.5931492647119
47,1093,Marion County,AL,1101.4542086109077
48,1095,Marshall County,AL,4487.965172569293
49,1097,Mobile County,AL,14920.355241241788
50,1099,Monroe County,AL,661.7580527491062
51,1101,Montgomery County,AL,10296.81648434184
52,1103,Morgan County,AL,4349.137194089645
53,1105,Perry County,AL,598.5545102225972
54,1107,Pickens County,AL,897.0490977847286
55,1109,Pike County,AL,1377.590220223662
56,1111,Randolph County,AL,886.6082107416388
57,1113,Russell County,AL,1992.1302313134438
58,1115,St. Clair County,AL,3111.968864806629
59,1117,Shelby County,AL,7760.115646823867
60,1119,Sumter County,AL,486.86381417988923
61,1121,Talladega County,AL,2807.0846834140484
62,1123,Tallapoosa County,AL,1366.0495575776695
63,1125,Tuscaloosa County,AL,11335.76448850799
64,1127,Walker County,AL,2900.7624080632486
65,1129,Washington County,AL,665.3006502344948
66,1131,Wilcox County,AL,573.1147502429008
67,1133,Winston County,AL,989.3361530402897
69,2013,Aleutians East Borough,AK,7.3225276231443726
70,2016,Aleutians West Census Area,AK,6.412215842244373
71,2020,Municipality of Anchorage,AK,7720.699494827965
72,2050,Bethel Census Area,AK,461.27699132203753
73,2060,Bristol Bay Borough,AK,
74,2068,Denali Borough,AK,48.856507842187185
75,2070,Dillingham Census Area,AK,36.248869204862245
76,2090,Fairbanks North Star Borough,AK,2260.7516988686148
77,2100,Haines Borough,AK,5.0
78,2105,Hoonah-Angoon Census Area,AK,31.367521767485915
79,2110,City and Borough of Juneau,AK,422.4778334377231
80,2122,Kenai Peninsula Borough,AK,702.5383462000462
81,2130,Ketchikan Gateway Borough,AK,62.828836823494164
82,2150,Kodiak Island Borough,AK,65.50469092094112
83,2158,Kusilvak Census Area,AK,272.796802927971
84,2164,Lake and Peninsula Borough,AK,42.83776942753672
85,2170,Matanuska-Susitna Borough,AK,1074.0104223001267
86,2180,Nome Census Area,AK,154.50761549900807
87,2185,North Slope Borough,AK,289.0545862530216
88,2188,Northwest Arctic Borough,AK,266.1537236835642
89,2195,Petersburg Census Area,AK,13.053305281580887
90,2198,Prince of Wales-Hyder Census Area,AK,34.09228023325391
91,2220,Sitka City and Borough,AK,60.75842723479574
92,2230,Skagway Municipality,AK,
93,2240,Southeast Fairbanks Census Area,AK,68.10597978249176
94,2261,Valdez-Cordova Census Area,AK,118.55059300007346
95,2270,Wade Hampton Census Area,AK,
96,2275,Wrangell City and Borough,AK,13.0
97,2282,Yakutat City and Borough,AK,
98,2290,Yukon-Koyukuk Census Area,AK,112.6107211047073
100,4001,Apache County,AZ,3954.501212358175
101,4003,Cochise County,AZ,2167.0420023412125
102,4005,Coconino County,AZ,5327.329962758445
103,4007,Gila County,AZ,2054.6649176380793
104,4009,Graham County,AZ,1199.8795614050182
105,4011,Greenlee County,AZ,95.41718913066146
106,4012,La Paz County,AZ,636.9763286547261
107,4013,Maricopa County,AZ,156246.97502556842
108,4015,Mohave County,AZ,4346.461890927826
109,4017,Navajo County,AZ,6382.454748102126
110,4019,Pima County,AZ,28062.593207224672
111,4021,Pinal County,AZ,12007.85256181425
112,4023,Santa Cruz County,AZ,3016.6452813509723
113,4025,Yavapai County,AZ,2969.191146219996
114,4027,Yuma County,AZ,13624.353383478254
116,5001,Arkansas County,AR,764.2084157089307
117,5003,Ashley County,AR,549.1140522506954
118,5005,Baxter County,AR,763.3605185045075
119,5007,Benton County,AR,8433.36555047062
120,5009,Boone County,AR,1119.1658466459342
121,5011,Bradley County,AR,375.24249959505414
122,5013,Calhoun County,AR,52.41538066707492
123,5015,Carroll County,AR,1121.9628642589462
124,5017,Chicot County,AR,1055.7521536562779
125,5019,Clark County,AR,551.8873147137703
126,5021,Clay County,AR,538.9644462519444
127,5023,Cleburne County,AR,494.99072527727844
128,5025,Cleveland County,AR,225.7567963229881
129,5027,Columbia County,AR,796.245775612465
130,5029,Conway County,AR,372.86135262285086
131,5031,Craighead County,AR,4957.871648646261
132,5033,Crawford County,AR,2217.071578391114
133,5035,Crittenden County,AR,2398.2616771433336
134,5037,Cross County,AR,613.0270440200952
135,5039,Dallas County,AR,185.6340596914095
136,5041,Desha County,AR,429.1791739828969
137,5043,Drew County,AR,442.1728246895489
138,5045,Faulkner County,AR,3592.367221425903
139,5047,Franklin County,AR,604.6899226132263
140,5049,Fulton County,AR,397.57918870422264
141,5051,Garland County,AR,2568.012973930629
142,5053,Grant County,AR,390.1834690386967
143,5055,Greene County,AR,1574.3889071475444
144,5057,Hempstead County,AR,597.639530100476
145,5059,Hot Spring County,AR,2275.1009363048447
146,5061,Howard County,AR,593.2207813806717
147,5063,Independence County,AR,1588.65055750959
148,5065,Izard County,AR,780.6297236319433
149,5067,Jackson County,AR,863.312221836159
150,5069,Jefferson County,AR,4526.330647354664
151,5071,Johnson County,AR,1033.5692687386554
152,5073,Lafayette County,AR,190.3176396909546
153,5075,Lawrence County,AR,970.0271021226578
154,5077,Lee County,AR,1119.910474940973
155,5079,Lincoln County,AR,2420.484031509971
156,5081,Little River County,AR,463.06200048451825
157,5083,Logan County,AR,640.4183965507843
158,5085,Lonoke County,AR,1874.6037850371158
159,5087,Madison County,AR,450.9839087630747
160,5089,Marion County,AR,169.77980816475474
161,5091,Miller County,AR,1492.7114509013568
162,5093,Mississippi County,AR,2354.661958172907
163,5095,Monroe County,AR,247.6140625098825
164,5097,Montgomery County,AR,197.77618834427662
165,5099,Nevada County,AR,316.57784527878164
166,5101,Newton County,AR,320.0067285289858
167,5103,Ouachita County,AR,395.3099302441726
168,5105,Perry County,AR,153.6339763419247
169,5107,Phillips County,AR,817.9804124163044
170,5109,Pike County,AR,273.684334863223
171,5111,Poinsett County,AR,1145.3021868815633
172,5113,Polk County,AR,378.799263605802
173,5115,Pope County,AR,2886.3484851182902
174,5117,Prairie County,AR,226.46676891553773
175,5119,Pulaski County,AR,12549.746526654295
176,5121,Randolph County,AR,725.4873013093714
177,5123,St. Francis County,AR,1750.6155030591237
178,5125,Saline County,AR,2990.244959920084
179,5127,Scott County,AR,231.44160444326528
180,5129,Searcy County,AR,199.6813555119528
181,5131,Sebastian County,AR,5139.61748132643
182,5133,Sevier County,AR,1338.796474816376
183,5135,Sharp County,AR,379.40292902600686
184,5137,Stone County,AR,420.9340257025848
185,5139,Union County,AR,1199.419621825994
186,5141,Van Buren County,AR,217.26857722751373
187,5143,Washington County,AR,11857.630608513015
188,5145,White County,AR,1666.9733973252494
189,5147,Woodruff County,AR,131.48410059032557
190,5149,Yell County,AR,1363.6600156837455
192,6000,Grand Princess Cruise Ship,CA,21.0
193,6001,Alameda County,CA,23805.46633653864
194,6003,Alpine County,CA,3.5392162636324938
195,6005,Amador County,CA,299.811594480916
196,6007,Butte County,CA,3136.6411064085964
197,6009,Calaveras County,CA,347.81380001558296
198,6011,Colusa County,CA,558.3188790837478
199,6013,Contra Costa County,CA,19233.711785417785
200,6015,Del Norte County,CA,193.92205055588846
201,6017,El Dorado County,CA,1395.4442890529272
202,6019,Fresno County,CA,31205.638220611436
203,6021,Glenn County,CA,682.7706243378573
204,6023,Humboldt County,CA,587.361538301447
205,6025,Imperial County,CA,13043.505290914502
206,6027,Inyo County,CA,242.25887803048977
207,6029,Kern County,CA,34371.561041875655
208,6031,Kings County,CA,8408.613657333986
209,6033,Lake County,CA,801.0156480580838
210,6035,Lassen County,CA,771.5956301265151
211,6037,Los Angeles County,CA,305556.9637952531
212,6039,Madera County,CA,5132.5689081379005
213,6041,Marin County,CA,7193.218154318617
214,6043,Mariposa County,CA,79.03253391933634
215,6045,Mendocino County,CA,1218.0189370531855
216,6047,Merced County,CA,9661.433873432014
217,6049,Modoc County,CA,44.64619751013661
218,6051,Mono County,CA,182.57092004676852
219,6053,Monterey County,CA,11890.6294429252
220,6055,Napa County,CA,2023.9960856745624
221,6057,Nevada County,CA,631.5824317970478
222,6059,Orange County,CA,59794.251567639316
223,6061,Placer County,CA,4252.666664107577
224,6063,Plumas County,CA,55.42235973159628
225,6065,Riverside County,CA,68260.96471387135
226,6067,Sacramento County,CA,26301.625403198166
227,6069,San Benito County,CA,1457.6139340456339
228,6071,San Bernardino County,CA,64752.39649824452
229,6073,San Diego County,CA,56613.23690601736
230,6075,San Francisco County,CA,12404.380885292348
231,6077,San Joaquin County,CA,22056.84285425843
232,6079,San Luis Obispo County,CA,4371.949038451958
233,6081,San Mateo County,CA,11446.996244435284
234,6083,Santa Barbara County,CA,9984.020656540739
235,6085,Santa Clara County,CA,24809.876631872106
236,6087,Santa Cruz County,CA,2930.734931068071
237,6089,Shasta County,CA,2538.0310743946757
238,6091,Sierra County,CA,6.0
239,6093,Siskiyou County,CA,197.21709102091918
240,6095,Solano County,CA,7640.216078763876
